Time,Input,Output,Velocity
0.0000,0.01579,0.00000,-0.2541
0.0361,0.01579,0.00021,-0.1883
0.0701,0.01579,0.00074,-0.1621
0.1096,0.01579,0.00074,-0.1589
0.1569,0.01579,0.00147,-0.1462
0.1852,0.01579,0.00242,-0.1336
0.2367,0.01579,0.00347,-0.1213
0.2799,0.01579,0.00453,-0.1100
0.3064,0.01579,0.00579,-0.0956
0.3415,0.01579,0.00695,-0.0838
0.3826,0.01579,0.00832,-0.0684
0.4190,0.01579,0.00979,-0.0522
0.4523,0.01579,0.01063,-0.0467
0.4922,0.01579,0.01200,-0.0305
0.5227,0.01579,0.01284,-0.0241
0.5572,0.01579,0.01400,-0.0110
0.5843,0.01579,0.01474,-0.0054
0.6132,0.01579,0.01547,0.0017
0.6451,0.01579,0.01589,0.0041
0.6726,0.01579,0.01653,0.0113
0.7017,0.01579,0.01695,0.0147
0.7313,0.01579,0.01747,0.0205
0.7609,0.01579,0.01768,0.0210
0.7884,0.01579,0.01800,0.0244
0.8114,0.01579,0.01811,0.0243
0.8394,0.01579,0.01821,0.0251
0.8645,0.01579,0.01832,0.0261
0.9130,0.01579,0.01842,0.0272
0.9509,0.01579,0.01842,0.0266
0.9819,0.01579,0.01832,0.0247
1.0230,0.01579,0.01811,0.0217
1.0668,0.01579,0.01811,0.0227
1.1432,0.01579,0.01800,0.0213
1.1582,0.01579,0.01779,0.0184
1.1709,0.01579,0.01768,0.0177
1.2051,0.01579,0.01747,0.0150
1.2346,0.01579,0.01737,0.0144
1.2696,0.01579,0.01726,0.0135
1.3136,0.01579,0.01705,0.0107
1.3529,0.01579,0.01684,0.0084
1.3851,0.01579,0.01663,0.0061
1.4234,0.01579,0.01642,0.0039
1.4643,0.01579,0.01632,0.0034
1.5208,0.01579,0.01621,0.0025
1.5833,0.01579,0.01600,-0.0002
1.6059,0.01579,0.01589,-0.0009
1.6231,0.01579,0.01579,-0.0019
1.6489,0.01579,0.01579,-0.0012
1.6964,0.01579,0.01568,-0.0027
1.7366,0.01579,0.01558,-0.0040
1.8261,0.01579,0.01547,-0.0051
1.8423,0.01579,0.01537,-0.0062
1.8737,0.01579,0.01526,-0.0073
1.9026,0.01579,0.01526,-0.0067
1.9282,0.01579,0.01516,-0.0082
1.9898,0.01579,0.01516,-0.0078
2.0208,0.01579,0.01516,-0.0076
2.0599,0.01579,0.01505,-0.0093
2.0869,0.01579,0.01516,-0.0072
2.1227,0.01579,0.01516,-0.0075
2.1577,0.01579,0.01516,-0.0076
2.1976,0.01579,0.01516,-0.0076
2.2274,0.01579,0.01526,-0.0059
2.2646,0.01579,0.01537,-0.0046
2.2913,0.01579,0.01537,-0.0052
2.3295,0.01579,0.01547,-0.0036
2.3575,0.01579,0.01547,-0.0041
2.3954,0.01579,0.01558,-0.0026
2.4282,0.01579,0.01558,-0.0030
2.4620,0.01579,0.01568,-0.0015
2.4918,0.01579,0.01568,-0.0019
2.5249,0.01579,0.01579,-0.0004
2.5580,0.01579,0.01579,-0.0008
2.5857,0.01579,0.01579,-0.0010
2.6405,0.01579,0.01589,0.0007
2.6693,0.01579,0.01589,0.0003
2.7003,0.01579,0.01589,0.0001
2.7330,0.01579,0.01589,0.0001
2.7727,0.01579,0.01589,0.0001
2.8019,0.01579,0.01589,0.0001
2.8287,0.01579,0.01589,0.0001
2.8670,0.01579,0.01589,0.0001
2.8985,0.01579,0.01589,0.0001
2.9276,0.01579,0.01589,0.0001
2.9661,0.01579,0.01589,0.0001
3.0031,0.01579,0.01589,0.0001
3.0377,0.01579,0.01589,0.0001
3.0659,0.01579,0.01589,0.0001
3.1167,0.01579,0.01589,0.0001
3.1440,0.01579,0.01589,0.0001
3.1883,0.01579,0.01589,0.0001
3.2094,0.01579,0.01589,0.0001
3.2493,0.01579,0.01589,0.0001
3.2841,0.01579,0.01589,0.0001
3.3168,0.01579,0.01589,0.0001
3.3424,0.01579,0.01589,0.0001
3.3846,0.01579,0.01589,0.0001
3.4113,0.01579,0.01589,0.0001
3.4362,0.01579,0.01589,0.0001
3.4827,0.01579,0.01589,0.0001
3.5085,0.01579,0.01589,0.0001
3.5442,0.01579,0.01589,0.0001
3.5724,0.01579,0.01589,0.0001
3.6162,0.01579,0.01589,0.0001
3.6695,0.01579,0.01589,0.0001
3.7077,0.01579,0.01589,0.0001
3.7857,0.01579,0.01589,0.0001
3.8272,0.01579,0.01589,0.0001
3.8848,0.01579,0.01589,0.0001
3.9479,0.01579,0.01589,0.0001
3.9889,0.01579,0.01589,0.0001
4.0320,0.01579,0.01589,0.0001
4.0687,0.01579,0.01589,0.0001
4.1487,0.01579,0.01589,0.0001
4.1696,0.01579,0.01600,0.0018
4.1837,0.01579,0.01600,0.0014
4.2105,0.01579,0.01589,-0.0004
4.2573,0.01579,0.01589,-0.0001
4.2947,0.01579,0.01589,0.0001
4.3277,0.01579,0.01589,0.0001
4.3563,0.01579,0.01589,0.0001
4.3987,0.01579,0.01589,0.0001
4.4251,0.01579,0.01589,0.0001
4.4569,0.01579,0.01589,0.0001
4.4979,0.01579,0.01589,0.0001
4.5287,0.01579,0.01589,0.0001
10.7285,0.03084,0.00000,-0.4978
10.7553,0.03084,-0.00042,-0.3818
10.7908,0.03084,-0.00095,-0.3519
